SUBCMD_ID,PARENT_CMD,CAN_NAME,TOKEN,HANDLER,OWNER,ACTIVE,SRC_FILE,HELP_TOPIC,NOTES
SUB_BUILD_INFO,BUILD,INFO,BUILD INFO,cmd_BUILDVECTORS,member.derald,T,src/cli/shell_commands.cpp,,evidence: compound
SUB_BUILD_LMDB,BUILD,LMDB,BUILD LMDB,cmd_BUILDLMDB,member.derald,T,src/cli/shell_commands.cpp,,"evidence: concat,doc"
SUB_BUILD_VECTORS,BUILD,VECTORS,BUILD VECTORS,cmd_BUILDVECTORS,member.derald,T,src/cli/shell_commands.cpp,,"evidence: compound,concat,doc"
SUB_ERROR_CLEAR,ERROR,CLEAR,ERROR CLEAR,cmd_ERROR_CLEAR,member.derald,T,src/cli/shell_commands.cpp,,"evidence: compound,concat,doc"
SUB_ERROR_STATUS,ERROR,STATUS,ERROR STATUS,cmd_ERROR_STATUS,member.derald,T,src/cli/shell_commands.cpp,,"evidence: compound,concat,doc"
SUB_ERROR_TEST,ERROR,TEST,ERROR TEST,cmd_ERROR_TEST,member.derald,T,src/cli/shell_commands.cpp,,"evidence: compound,concat,doc"
SUB_SET_ALTERNATE,SET,ALTERNATE,SET ALTERNATE,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_BUFFER,SET,BUFFER,SET BUFFER,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_CASE,SET,CASE,SET CASE,cmd_SETCASE,member.derald,T,src/cli/shell_commands.cpp,,"evidence: ladder,concat,doc"
SUB_SET_CDX,SET,CDX,SET CDX,cmd_SETCDX,member.derald,T,src/cli/shell_commands.cpp,,"evidence: ladder,concat,doc"
SUB_SET_CNX,SET,CNX,SET CNX,cmd_SETCNX,member.derald,T,src/cli/shell_commands.cpp,,"evidence: ladder,concat,doc"
SUB_SET_CONSOLE,SET,CONSOLE,SET CONSOLE,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_DELETED,SET,DELETED,SET DELETED,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_DEVDIAG,SET,DEVDIAG,SET DEVDIAG,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_DEVICE,SET,DEVICE,SET DEVICE,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_ECHO,SET,ECHO,SET ECHO,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_EDITOR,SET,EDITOR,SET EDITOR,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_ERRORSTOP,SET,ERRORSTOP,SET ERRORSTOP,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_FILTER,SET,FILTER,SET FILTER,cmd_SETFILTER,member.derald,T,src/cli/shell_commands.cpp,,"evidence: ladder,concat,doc"
SUB_SET_INDEX,SET,INDEX,SET INDEX,cmd_SETINDEX,member.derald,T,src/cli/shell_commands.cpp,,"evidence: ladder,concat,doc"
SUB_SET_INDEXTXN,SET,INDEXTXN,SET INDEXTXN,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_LANGUAGE,SET,LANGUAGE,SET LANGUAGE,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_LMDB,SET,LMDB,SET LMDB,cmd_SETLMDB,member.derald,T,src/cli/shell_commands.cpp,,"evidence: ladder,concat,doc"
SUB_SET_LOCALE,SET,LOCALE,SET LOCALE,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_MESSAGE,SET,MESSAGE,SET MESSAGE,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_NEAR,SET,NEAR,SET NEAR,cmd_SETNEAR,member.derald,T,src/cli/shell_commands.cpp,,"evidence: ladder,concat,doc"
SUB_SET_ORDER,SET,ORDER,SET ORDER,cmd_SETORDER,member.derald,T,src/cli/shell_commands.cpp,,"evidence: ladder,concat,doc"
SUB_SET_PAGING,SET,PAGING,SET PAGING,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_PATH,SET,PATH,SET PATH,cmd_SETPATH,member.derald,T,src/cli/shell_commands.cpp,,"evidence: ladder,concat,doc"
SUB_SET_POLLING,SET,POLLING,SET POLLING,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_PRINT,SET,PRINT,SET PRINT,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_RELATION,SET,RELATION,SET RELATION,cmd_SET_RELATIONS,member.derald,T,src/cli/shell_commands.cpp,,"evidence: ladder,compound,doc"
SUB_SET_TABLE,SET,TABLE,SET TABLE,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_TALK,SET,TALK,SET TALK,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_TIMER,SET,TIMER,SET TIMER,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
SUB_SET_UNIQUE,SET,UNIQUE,SET UNIQUE,cmd_SET_UNIQUE,member.derald,T,src/cli/shell_commands.cpp,,"evidence: ladder,compound,doc"
SUB_SET_WRAP,SET,WRAP,SET WRAP,cmd_SET,member.derald,T,src/cli/cmd_set.cpp,,evidence: ladder
